source_case_id,source_language,target_language,source_path,translation_path,source_sha256,translation_sha256,translation_id,status,failed_checks,provider,api_version,model,project_id,location,created_at,input_codepoints,output_codepoints
EN100017,en,de,EN100017.source.en.txt,EN100017.translation.de.txt,d56d319068dd6bd37f9010a06fc8cadcc54f09b7129ac82dd2b534e48dbcd4bb,5db47a58ab8a180d74fcb322243dd52b52831dbcefcc19edaae242d268137692,e3c-de-full-246-google-tllm-v1-EN100017-5db47a58ab8a,automatic_check_failed,units_added,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,2832,3573
EN100022,en,de,EN100022.source.en.txt,EN100022.translation.de.txt,f3d2bd7a898347b57cad46877a65a6bc61e0dba3ae8ca2b41fea2a56a48ca044,3e52d38736923989e5e45a7771ba9a03012aa9d27d64a6003d04a3beeb273c2c,e3c-de-full-246-google-tllm-v1-EN100022-3e52d3873692,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,2193,2544
EN100024,en,de,EN100024.source.en.txt,EN100024.translation.de.txt,8cc9a2ff48d8fdaf820d5791636fb894dd912f3851a6067181e49df3ee737409,4ebd3e08764cb1eb374bc2ea86d2a3cba1a7d0b7371be90a559c166bd2dc0d5d,e3c-de-full-246-google-tllm-v1-EN100024-4ebd3e08764c,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,3335,4123
EN100029,en,de,EN100029.source.en.txt,EN100029.translation.de.txt,6057fe87ad18ee1694fe2441803a0394da465e69637100c201d7422a39d6672a,aee2f3cf6dc48b83f6bf09f5c797f7c74d6f4ba7388b0e994f0073327538ecbd,e3c-de-full-246-google-tllm-v1-EN100029-aee2f3cf6dc4,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,1917,2231
EN100046,en,de,EN100046.source.en.txt,EN100046.translation.de.txt,bea5519fd5a8e80b3a636d4ed68c62e83cbc937fe274416855a5bdc887776afb,9706963f8ac606b601bc2a400a7efe9f2597a8688e9e4ef6361747483b6639ad,e3c-de-full-246-google-tllm-v1-EN100046-9706963f8ac6,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,2110,2785
EN100067,en,de,EN100067.source.en.txt,EN100067.translation.de.txt,bb206ae50c8ed2cc5c879467a7ecc90d124f08776aa9a282b94a480360a5f236,8f6ae96385897166bf019b48c48390cac11e7549cddd367a598e57e9997cb7ad,e3c-de-full-246-google-tllm-v1-EN100067-8f6ae9638589,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,2946,3463
EN100068,en,de,EN100068.source.en.txt,EN100068.translation.de.txt,fe8cdd0a669c2078b6f55d162e10dea278c1f54a025a55455db3b4cb919947e0,5c4b7f40460e3ff88720c8f16b71d67ce36ec303257e4aa62c23806520ef7209,e3c-de-full-246-google-tllm-v1-EN100068-5c4b7f40460e,automatic_check_failed,units_added,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,3371,3773
EN100075,en,de,EN100075.source.en.txt,EN100075.translation.de.txt,c2dffd605e534d7f65c9ad3de434550cff15d7e506d20702856de39d951b22e8,a309ef59a5949d9c1636b1ad895f1ab7b78798c61bedaf6dca6962664a36330f,e3c-de-full-246-google-tllm-v1-EN100075-a309ef59a594,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,3561,3885
EN100090,en,de,EN100090.source.en.txt,EN100090.translation.de.txt,5abd85942863efce44d86b7b3ece17677b1dae1889ac6fc22038eade90315ace,9a372123e67ca42fd28769c21cf53a52f180b3e38cc03e12f5edbfc43acc3156,e3c-de-full-246-google-tllm-v1-EN100090-9a372123e67c,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,1816,2097
EN100114,en,de,EN100114.source.en.txt,EN100114.translation.de.txt,7a9ffab405ec1f6aeb1e900b1a8beac1461d82b2b5dfd48ce40f87535d5dea5b,ab00214b7896e0da5959a49c0516792c73fd9691079055be4e3b1ba47832acac,e3c-de-full-246-google-tllm-v1-EN100114-ab00214b7896,automatic_check_failed,units_added,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,3339,3816
